venue,symbol,underlying,quote_ccy,option_type,strike,expiry_utc,T_years,spot,mark,bid,ask,iv,oi,volume,raw_timestamp_utc,fetch_timestamp_utc,mid,ba_spread_pct,intrinsic_put,intrinsic_call,below_intrinsic_flag
lyra,SOL-20260424-90-C,SOL,USD,call,90.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,1.7,250.0,250.0,0.56723,48.0,2821.517,2026-04-14T09:13:32.258000+00:00,2026-04-14T09:13:00.836635+00:00,250.0,0.0,,0.0,False
lyra,SOL-20260424-60-P,SOL,USD,put,60.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,0.1,0.0,0.0,1.09161,0.0,0.0,2026-04-14T09:13:24.372000+00:00,2026-04-14T09:13:00.836635+00:00,,,0.0,,False
lyra,SOL-20260424-88-C,SOL,USD,call,88.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,2.4,250.0,250.0,0.55695,0.0,0.0,2026-04-14T09:13:23.314000+00:00,2026-04-14T09:13:00.836635+00:00,250.0,0.0,,0.0,False
lyra,SOL-20260424-82-P,SOL,USD,put,82.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,1.5,250.0,250.0,0.58577,0.0,0.0,2026-04-14T09:13:24.829000+00:00,2026-04-14T09:13:00.836635+00:00,250.0,0.0,0.0,,False
lyra,SOL-20260424-60-C,SOL,USD,call,60.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,26.3,0.0,0.0,1.09161,0.0,0.0,2026-04-14T09:13:26.550000+00:00,2026-04-14T09:13:00.836635+00:00,,,,26.200000000000003,False
lyra,SOL-20260424-200-P,SOL,USD,put,200.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,113.6,0.0,0.0,0.83056,0.0,0.0,2026-04-14T09:13:24.370000+00:00,2026-04-14T09:13:00.836635+00:00,,,113.8,,True
lyra,SOL-20260424-86-C,SOL,USD,call,86.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,3.2,250.0,250.0,0.55397,0.0,0.0,2026-04-14T09:13:23.819000+00:00,2026-04-14T09:13:00.836635+00:00,250.0,0.0,,0.20000000000000284,False
lyra,SOL-20260424-95-P,SOL,USD,put,95.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,9.5,250.0,250.0,0.60611,0.0,0.0,2026-04-14T09:13:24.071000+00:00,2026-04-14T09:13:00.836635+00:00,250.0,0.0,8.799999999999997,,False
lyra,SOL-20260424-110-P,SOL,USD,put,110.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,23.7,0.0,0.0,0.72871,0.0,0.0,2026-04-14T09:13:24.325000+00:00,2026-04-14T09:13:00.836635+00:00,,,23.799999999999997,,True
lyra,SOL-20260424-120-P,SOL,USD,put,120.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,33.7,0.0,0.0,0.79727,0.0,0.0,2026-04-14T09:13:24.324000+00:00,2026-04-14T09:13:00.836635+00:00,,,33.8,,True
lyra,SOL-20260424-160-P,SOL,USD,put,160.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,73.6,0.0,0.0,0.83056,0.0,0.0,2026-04-14T09:13:26.043000+00:00,2026-04-14T09:13:00.836635+00:00,,,73.8,,True
lyra,SOL-20260424-220-P,SOL,USD,put,220.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,133.5,0.0,0.0,0.83056,0.0,0.0,2026-04-14T09:13:23.463000+00:00,2026-04-14T09:13:00.836635+00:00,,,133.8,,True
lyra,SOL-20260424-75-P,SOL,USD,put,75.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,0.6,250.0,0.0,0.73656,507.699,0.0,2026-04-14T09:13:33.019000+00:00,2026-04-14T09:13:00.836635+00:00,,,0.0,,False
lyra,SOL-20260424-70-P,SOL,USD,put,70.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,0.3,0.0,0.0,0.85793,2050.0,0.0,2026-04-14T09:13:33.061000+00:00,2026-04-14T09:13:00.836635+00:00,,,0.0,,False
lyra,SOL-20260424-115-P,SOL,USD,put,115.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,28.7,0.0,0.0,0.7643,0.0,0.0,2026-04-14T09:13:24.629000+00:00,2026-04-14T09:13:00.836635+00:00,,,28.799999999999997,,True
lyra,SOL-20260424-100-C,SOL,USD,call,100.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,0.3,0.0,0.0,0.64901,30.399,0.0,2026-04-14T09:13:23.921000+00:00,2026-04-14T09:13:00.836635+00:00,,,,0.0,False
lyra,SOL-20260424-86-P,SOL,USD,put,86.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,2.9,250.0,250.0,0.55397,0.0,0.0,2026-04-14T09:13:25.992000+00:00,2026-04-14T09:13:00.836635+00:00,250.0,0.0,0.0,,False
lyra,SOL-20260424-150-P,SOL,USD,put,150.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,63.6,0.0,0.0,0.83056,0.0,0.0,2026-04-14T09:13:24.525000+00:00,2026-04-14T09:13:00.836635+00:00,,,63.8,,True
lyra,SOL-20260424-240-P,SOL,USD,put,240.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,153.5,0.0,0.0,0.83056,0.0,0.0,2026-04-14T09:13:32.308000+00:00,2026-04-14T09:13:00.836635+00:00,,,153.8,,True
lyra,SOL-20260424-82-C,SOL,USD,call,82.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,5.8,250.0,250.0,0.58577,0.0,0.0,2026-04-14T09:13:25.031000+00:00,2026-04-14T09:13:00.836635+00:00,250.0,0.0,,4.200000000000003,False
lyra,SOL-20260424-78-P,SOL,USD,put,78.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,0.8,0.0,0.0,0.66508,15.0,0.0,2026-04-14T09:13:31.954000+00:00,2026-04-14T09:13:00.836635+00:00,,,0.0,,False
lyra,SOL-20260424-300-P,SOL,USD,put,300.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,213.5,0.0,0.0,0.83056,0.0,0.0,2026-04-14T09:13:24.628000+00:00,2026-04-14T09:13:00.836635+00:00,,,213.8,,True
lyra,SOL-20260424-92-P,SOL,USD,put,92.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,6.9,250.0,250.0,0.58148,0.0,0.0,2026-04-14T09:13:33.019000+00:00,2026-04-14T09:13:00.836635+00:00,250.0,0.0,5.799999999999997,,False
lyra,SOL-20260424-40-C,SOL,USD,call,40.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,46.2,0.0,0.0,1.10571,0.0,0.0,2026-04-14T09:13:23.921000+00:00,2026-04-14T09:13:00.836635+00:00,,,,46.2,False
