lp_mean_%,lp_med_%,rt_mean_%,rt_p5_%,m_vol_mean,m_amm_mean,imbalance_mean,imbalance_p95,alpha_rv,alpha_ivrv,k_lin,k_quad,yield_share_to_rt,max_utilization,strict_feasible,robust_feasible,score
0.5844880756217364,0.717799431959089,0.011419764705079785,-0.027699065567952062,1.3643435634773717,0.75,-0.9966742542483193,-0.9950821196708186,0.2,0.4,0.3,0.1,0.1,0.7,True,True,0.08711216704065139
0.5943657187560418,0.4647887799751403,0.0013208547175833267,-0.022980148308453966,1.1667860945727002,0.75,-0.998009672600454,-0.9967754143923685,0.1,0.3,0.2,0.1,0.15,0.6,True,True,0.08675868509376017
0.5878364066532986,0.21505744631546267,0.009339584547020491,-0.03326497681611244,1.3763125235653164,0.75,-0.9969363854071353,-0.9954343915236198,0.2,0.3,0.3,0.2,0.1,0.7,True,True,0.08573791738327818
0.5840761911461269,0.7602694965288063,0.0016321763199010051,-0.013886411511123173,1.154667849403176,0.75,-0.9988039582767972,-0.9977142688356633,0.1,0.4,0.2,0.1,0.1,0.7,True,True,0.08048023812555882
0.5481455343273979,0.7320882100448834,0.009877232067245759,-0.026184826487155536,1.3293542751415741,0.75,-0.9965836227652637,-0.994061818788827,0.2,0.3,0.3,0.1,0.15,0.6,True,True,0.049524282213230575
0.5409722235323009,0.6170731133575119,0.017487962310356066,-0.03353679544932379,1.3670707840650458,0.75,-0.9964578626610856,-0.9939306313914849,0.2,0.2,0.3,0.2,0.15,0.7,True,True,0.04854306012499865
0.5606721670300665,0.8195421588713512,0.002582830021342213,-0.039032391996525265,1.1560719811537592,0.75,-0.9977728413125135,-0.9961925810576346,0.1,0.4,0.3,0.1,0.15,0.8,True,True,0.04815860625706703
0.5358450438009762,1.3426179031701138,0.010542748323150783,-0.011935174253916641,1.3600344511725646,0.75,-0.9978229639910723,-0.9959073406089354,0.2,0.4,0.3,0.1,0.15,0.6,True,True,0.043722272087190484
0.5496020340310188,0.9122400342518693,0.0011903807798797868,-0.02773902424967991,1.153700785161668,0.75,-0.9979922545164485,-0.9962617287177765,0.1,0.4,0.3,0.1,0.05,0.7,True,True,0.03993488126700251
0.5313627764329897,1.012267715611414,0.0012650830146709112,-0.011841827628433254,1.1217530786345347,0.75,-0.9990602200621546,-0.9985083877424186,0.1,0.4,0.2,0.1,0.05,0.8,True,True,0.028144144999221465
0.5226576254816214,0.883769146200746,0.007766630707024126,-0.026855778386968992,1.3486124455719803,0.75,-0.9977330539984774,-0.9961625761715099,0.2,0.3,0.3,0.1,0.1,0.8,True,True,0.021235270975262677
0.5187023526834549,1.1868773629063645,0.005268376120972775,-0.021808852297256077,1.1876707868969494,0.75,-0.9972050921389122,-0.9949316530597542,0.1,0.2,0.3,0.1,0.05,0.6,True,True,0.016300863109719677
0.4936834065787335,0.9107765890492673,0.015828354628790398,-0.014927530400026172,1.548389889135213,0.75,-0.9979578431924526,-0.9964591559469312,0.3,0.2,0.3,0.2,0.05,0.8,True,True,0.006706419973271482
0.4997164081592247,0.7990870675139026,0.008371820106711989,-0.03339482386795711,1.1769592219914409,0.75,-0.9974358956108406,-0.9956376895635659,0.1,0.3,0.3,0.2,0.15,0.7,True,True,-0.003595337259903797
