alpha_rv,alpha_ivrv,k_lin,k_quad,yield_share_to_rt,max_utilization,score,lp_mean_%,rt_mean_%,rt_p5_%,m_amm_mean,strict_feasible,robust_feasible
0.2,0.3,0.3,0.2,0.05,0.8,0.14110026880436433,0.6439439949685304,0.011269628097202656,-0.04091819970202302,0.75,True,True
0.1,0.3,0.2,0.1,0.05,0.8,0.12809566728853816,0.6343814889318923,0.004088293018964047,-0.027979433165277387,0.75,True,True
0.1,0.4,0.1,0.1,0.05,0.6,0.11980558485428613,0.3718664803028599,0.002234656385005501,-0.019051814326388236,0.800575648523995,True,True
0.1,0.2,0.2,0.1,0.15,0.8,0.11212671089005921,0.6199249419786036,0.0018541123287268747,-0.025057914707541627,0.75,True,True
0.2,0.3,0.3,0.2,0.15,0.7,0.11180720181497072,0.6051982647169181,0.013473065356125248,-0.023896853323244274,0.75,True,True
0.3,0.2,0.1,0.1,0.05,0.7,0.1096432405239198,0.3595468370534922,0.0029593428797332756,-0.013149923408414824,0.8003610322756227,True,True
0.1,0.3,0.3,0.1,0.05,0.8,0.10846067277323135,0.6161920251785666,0.0005207542871053255,-0.020890643874654332,0.75,True,True
0.1,0.4,0.1,0.2,0.05,0.6,0.10153908759713381,0.604531180196797,0.003971308885339226,-0.01939415815517578,0.75,True,True
0.1,0.4,0.1,0.2,0.05,0.8,0.09981984158438584,0.5968944278811934,0.009227958972504332,-0.020370342659531956,0.75,True,True
0.1,0.3,0.3,0.1,0.05,0.7,0.09699007192793585,0.6023170428522017,0.0033793517996205105,-0.023455482709525948,0.75,True,True
0.1,0.2,0.1,0.1,0.15,0.6,0.09631081574984393,0.34777052700586075,0.00257770791275696,-0.01828548713147196,0.8005522468202527,True,True
0.1,0.3,0.1,0.2,0.15,0.7,0.0941746929972308,0.5968904878757357,0.005838907014788857,-0.024306208240629023,0.75,True,True
0.2,0.3,0.1,0.2,0.05,0.7,0.0921952353945461,0.5911426814568904,0.007859212905828295,-0.020946253873345637,0.75,True,True
0.2,0.4,0.3,0.1,0.1,0.7,0.08711216704065139,0.5844880756217364,0.011419764705079785,-0.027699065567952062,0.75,True,True
0.1,0.3,0.2,0.1,0.15,0.6,0.08675868509376017,0.5943657187560418,0.0013208547175833267,-0.022980148308453966,0.75,True,True
0.2,0.3,0.3,0.2,0.1,0.7,0.08573791738327818,0.5878364066532986,0.009339584547020491,-0.03326497681611244,0.75,True,True
0.1,0.4,0.2,0.1,0.1,0.7,0.08048023812555882,0.5840761911461269,0.0016321763199010051,-0.013886411511123173,0.75,True,True
0.2,0.3,0.3,0.1,0.15,0.6,0.049524282213230575,0.5481455343273979,0.009877232067245759,-0.026184826487155536,0.75,True,True
0.2,0.2,0.3,0.2,0.15,0.7,0.04854306012499865,0.5409722235323009,0.017487962310356066,-0.03353679544932379,0.75,True,True
0.1,0.4,0.3,0.1,0.15,0.8,0.04815860625706703,0.5606721670300665,0.002582830021342213,-0.039032391996525265,0.75,True,True
0.2,0.4,0.3,0.1,0.15,0.6,0.043722272087190484,0.5358450438009762,0.010542748323150783,-0.011935174253916641,0.75,True,True
0.1,0.4,0.3,0.1,0.05,0.7,0.03993488126700251,0.5496020340310188,0.0011903807798797868,-0.02773902424967991,0.75,True,True
0.1,0.4,0.2,0.1,0.05,0.8,0.028144144999221465,0.5313627764329897,0.0012650830146709112,-0.011841827628433254,0.75,True,True
0.2,0.3,0.3,0.1,0.1,0.8,0.021235270975262677,0.5226576254816214,0.007766630707024126,-0.026855778386968992,0.75,True,True
0.1,0.2,0.3,0.1,0.05,0.6,0.016300863109719677,0.5187023526834549,0.005268376120972775,-0.021808852297256077,0.75,True,True
0.3,0.2,0.3,0.2,0.05,0.8,0.006706419973271482,0.4936834065787335,0.015828354628790398,-0.014927530400026172,0.75,True,True
0.1,0.3,0.3,0.2,0.15,0.7,-0.003595337259903797,0.4997164081592247,0.008371820106711989,-0.03339482386795711,0.75,True,True
0.2,0.4,0.3,0.1,0.05,0.7,-0.004797638497846757,0.4897217714330251,0.01045550568529267,-0.017665041883057574,0.75,True,True
0.1,0.3,0.2,0.2,0.05,0.6,-0.005449209616773754,0.4951796449177888,0.008343152555868653,-0.026601594004012283,0.75,True,True
0.2,0.2,0.3,0.1,0.15,0.8,-0.015310505956915799,0.4837033397179864,0.005155954284640819,-0.013002477041177898,0.75,True,True
0.2,0.2,0.2,0.2,0.1,0.7,-0.03435153552871695,0.4672550743471394,0.0029848266094528583,-0.012971004517999603,0.75,True,True
0.2,0.2,0.2,0.1,0.05,0.8,-0.04302279620455257,0.45779514602734367,0.007933277777858164,-0.02584468891331512,0.75,True,True
0.2,0.4,0.3,0.1,0.05,0.8,-0.0436656611518485,0.4524011131234299,0.008588839195352782,-0.015933453274254248,0.75,True,True
0.1,0.3,0.1,0.1,0.15,0.8,-0.044488549753156165,0.21454801273130428,0.00025435887534117996,-0.029084021228397164,0.8004583630712978,True,True
0.3,0.3,0.3,0.1,0.1,0.7,-0.05008068728030041,0.4450290702759527,0.00833463762087188,-0.012778306753248304,0.75,True,True
0.1,0.2,0.3,0.2,0.05,0.8,-0.05014049170946361,0.45182534529723895,0.004664480056327418,-0.01890803268573869,0.75,True,True
0.1,0.2,0.1,0.2,0.15,0.8,-0.05085873884815095,0.45466396191631,0.002005550271792021,-0.01982340272652841,0.75,True,True
0.1,0.4,0.3,0.2,0.1,0.6,-0.05140287391904558,0.45733322957265843,0.004007957575951983,-0.03386413145711603,0.75,True,True
0.1,0.2,0.3,0.2,0.1,0.6,-0.05470144757846712,0.4536718923644013,0.0018774536043018903,-0.026565710670076702,0.75,True,True
0.3,0.4,0.3,0.1,0.1,0.6,-0.05797283147200699,0.43792383696984155,0.008674661604195718,-0.015765655917208587,0.75,True,True
